Name,Layer,Subline,World,Type,HQ City,HQ State,HQ Country,Region,Founded,Total Funding ($M),Active Fleet,Real Miles (M),Simulated Miles (M),Spoken With,Exited,Acquired By,L4 Passenger Operator,Op Maturity,About,Known For,Website,Operating Footprint,Leadership,Business Model,Financing Notes,Investors Notes,Deployment Notes,Metrics Notes,Signal,Partner Count,Partners,Salience Score
Kodiak Commercial Network,Demand & Commercial Platforms,Autonomous trucking with a modular retrofit hardware model,Passenger loop,Company,Mountain View,CA,US,North America,2019,,,,,,,,,Commercial-limited,Autonomous trucking provider with freight partnerships and modular retrofit model.,,https://kodiak.ai,United States,"Don Burnette, CEO",Autonomous trucking services and technology.,Private,,US freight lanes.,Public commercial-pilot metrics limited.,Potential freight-network integration target.,0,,10
Lyft,Demand & Commercial Platforms,Ridehail & demand aggregation; Robotaxi consumer services,Passenger loop,Company,San Francisco,CA,US,North America,2012,,,,,Yes,,,,Commercial-scaled platform,Ride-hailing platform increasingly partnering for AV supply rather than building its own autonomy stack.,"North America's #2 rideshare network, becoming a multi-partner AV marketplace.",https://lyft.com,United States; Canada; UK robotaxi plans via partners,David Risher (CEO),"Ridehail take-rate, AV platform distribution and fleet/depot partnerships.",Public (Nasdaq: LYFT),Public,"Waymo Nashville, May Mobility Atlanta, Mobileye/Marubeni Dallas plans; Baidu London plan.",Baidu/Lyft London robotaxi plan reported for 2026,May Mobility live in Atlanta; Baidu Germany/UK launch planned (2026),7,Baidu Apollo Go | FREE NOW | Lyft Flexdrive | May Mobility | Mobileye | Motional | Waymo,13
May Mobility Service,Demand & Commercial Platforms,Driver-out shuttle service expanding to Lyft riders in Atlanta,Passenger loop,Company,Ann Arbor,MI,US,North America,2018,,,,,,,,,Commercial-limited,Autonomous shuttle and ridehail service provider for smaller managed domains.,,https://maymobility.com,United States; Japan,"Edwin Olson, CEO",Transit/community service contracts and ridehail partnerships.,Late-stage private,,"Peachtree Corners, Ann Arbor, Sun City history; Lyft Atlanta plans.",Driver-out commercial service reported in public summaries.,Lyft Atlanta partnership makes May a platform-distributed service.,0,,10
McLane Company,Demand & Commercial Platforms,Berkshire distributor with driverless Aurora Dallas-Houston hauls,Adjacent: Freight & Trucking,Company,Temple,TX,US,North America,1894,,,,,,,,,Commercial-limited,Berkshire Hathaway distribution giant using driverless Aurora trucks,,https://mclaneco.com,,David Reed (President),,Subsidiary,Berkshire Hathaway,,,Transitioned to fully driverless Aurora hauls Dallas-Houston (May 2026),1,Aurora Innovation,7
Mobileye Drive,Demand & Commercial Platforms,Turnkey AV driver licensed to OEMs and transit operators,Passenger loop,Company,Jerusalem,,Israel,Middle East & Africa,2022,,,,,,,,,Commercializing,"Turnkey AV-driver stack licensed to OEMs, transit operators and mobility platforms.",,https://mobileye.com,Global,"Amnon Shashua, CEO","AV-driver licensing, hardware/software supply and platform partnerships.",Public company product,,Planned robotaxi/shuttle deployments with partners.,Launch targets publicly reported in prior layer research.,"June 2026: Mobileye announced its own vertically integrated robotaxi service — about 100 fully driverless vehicles in a major US metro in 2027, scaling toward ~17,000 over five years, with Moovit running the consumer app, fleet management and teleoperation in-house.",2,MOIA | Mobileye,8
Moovit,Demand & Commercial Platforms,Intel-owned transit app poised to route Mobileye Drive trips,Passenger loop,Company,Ness Ziona,,Israel,Middle East & Africa,2012,,,,,,,,,Commercial-scaled,"Transit and MaaS app owned by Intel/Mobileye, relevant to multimodal AV routing.",,,Global transit-app footprint,"Nir Erez, co-founder","MaaS, trip planning, transit APIs and enterprise partnerships.",Subsidiary,,Global public transit app coverage.,Large transit data/app footprint.,Selected as the consumer app and fleet layer for Mobileye's vertically integrated robotaxi service launching 2027.,0,,11
Nexar,Demand & Commercial Platforms,Dashcam fleet monetizing real-time road perception for AV maps,Passenger loop,Company,New York,NY,US,North America,2015,153,,,,,,,,Commercial-scaled in niche,Dashcam and road-data network monetizing real-time road perception.,,https://getnexar.com,US and global app footprint,"Eran Shir, CEO","Hardware, subscription and data products.",Private,,US and global driver network.,Large dashcam network per company materials.,Potential low-cost road intelligence feed for AV maps and curb data.,0,,12
Nuro Delivery,Demand & Commercial Platforms,"Delivery pilots spanning Kroger, 7-Eleven and Uber Eats",Adjacent: Delivery,Company,Mountain View,CA,US,North America,2018,,,,,,Yes,,,Historical commercial pilots / licensing,Nuro’s autonomous delivery heritage remains relevant after its pivot to licensing.,,https://nuro.ai,United States,"Jiajun Zhu and Dave Ferguson, co-founders",Autonomous delivery and AV-driver licensing.,Late-stage private,,"Historical Kroger, 7-Eleven and Uber Eats pilots.",Partnership history plus licensing pivot.,Delivery heritage now supports broader AV-driver commercialization.,0,,7
Nuro Driver,Demand & Commercial Platforms,Licensed autonomy anchoring Uber and Lucid's robotaxi plans,Passenger loop,Company,Mountain View,CA,US,North America,2024,,,,,,,,,Commercial-limited / licensing,Nuro shifted toward licensing autonomy and anchors Uber/Lucid robotaxi plans.,,https://nuro.ai,United States,"Jiajun Zhu and Dave Ferguson, co-founders",AV-driver licensing and technology supply.,Late-stage private,,Uber/Lucid robotaxi testing and planned service.,Uber/Lucid/Nuro partnership targets large robotaxi fleet growth.,Licensing model is one of Layer G’s clearest alternative commercial models.,1,Nuro,10
NVIDIA DRIVE / Halos,Demand & Commercial Platforms,"Compute, simulation and safety platform across AV supply chains",Passenger loop,Company,Santa Clara,CA,US,North America,2015,,,,,,,,,Commercial-scaled,"Compute, software, simulation and safety platform becoming an enabling commercial layer for AVs.",,https://nvidia.com,Global,"Jensen Huang, CEO","Chips, compute platforms, software and simulation revenue.",Public company product,,Global OEM and AV developer ecosystem.,Multiple OEM and platform partnerships across AV supply chain.,Platform-as-commercial-layer for robotaxi and AV supply chains.,0,,12
Obi,Demand & Commercial Platforms,Ride-price comparison & metasearch,Passenger loop,Company,Los Angeles,CA,US,North America,2014,,,,,,,,,Commercial-limited,Ride-hailing fare comparison app that can expose robotaxi price/ETA competition.,,,US and international app markets,Ashwini Anburajan (CEO),Consumer referral and comparison model.,Private,"Empire Group Intl, Loyal VC",Supported app markets.,No robotaxi-specific public metrics found.,New CEO charts AV-era pricing transparency push (Aug 2025),0,,10
PonyPilot / Pony.ai Robotaxi,Demand & Commercial Platforms,Robotaxi service across China posting Q1 2026 revenue growth,Passenger loop,Company,Guangzhou,,China,Greater China,2018,,,,,Yes,,,,Commercial-scaled,Pony.ai robotaxi service across Chinese cities with accelerating international partnerships.,,https://pony.ai,China; Gulf; Singapore; Korea; Europe watch,"James Peng, CEO","Per-ride service, fleet deployment and partner distribution.",Public,,"China cities; Europe entry via Verne (the Rimac Group spinout) with Uber — Zagreb fare service targeted for H2 2026, with Verne contracted in eleven cities across Europe and the Middle East; Singapore, Qatar, Dubai and South Korea activity continuing.",Reported Q1 2026 robotaxi revenue growth and fleet target increase.,International expansion and revenue growth make Pony a high-priority platform target.,1,Pony.ai,9
Ridecell,Demand & Commercial Platforms,Fleet automation platform for dispatch and maintenance workflows,Passenger loop,Company,San Francisco,CA,US,North America,2009,,,,,,,,,Commercial-limited,"Fleet automation software provider for shared mobility, rental, and logistics fleets; relevant to digital operations of large autonomous fleets.",,https://ridecell.com,"North America, Europe","Aarjav Trivedi, CEO",Fleet automation SaaS and operations platform.,Private,,Enterprise fleet and shared mobility customers,"Useful digital layer for dispatch, maintenance workflows, and utilization monitoring",Fleet automation remains a prerequisite for AV scale,0,,10
Ruqi Mobility,Demand & Commercial Platforms,GAC-affiliated ridehail channel for Greater Bay Area robotaxis,Passenger loop,Company,Guangzhou,,China,Greater China,2019,,,,,,,,,Commercial-limited,GAC-affiliated mobility platform relevant to Guangzhou robotaxi commercialization.,,https://ruqimobility.com,China,,Ridehail and autonomous mobility services.,Affiliated / public-market exposed,,Greater Bay Area.,Public robotaxi pilots in GAC/GBA ecosystem.,Local China robotaxi distribution channel.,2,GAC Group / GAC Toyota | Pony.ai,6
Samsara,Demand & Commercial Platforms,Connected-ops telemetry feeding underwriting for hybrid fleets,Passenger loop,Company,San Francisco,CA,US,North America,2015,,,,,,,,,Commercial-scaled,"Connected operations platform producing fleet telemetry, video safety and compliance data that could feed underwriting and claims for mixed human/AV fleets.",,https://samsara.com,"North America, Europe",Sanjit Biswas (CEO),"SaaS subscriptions for fleet telematics, safety, compliance and operations.",Public,,Fleet operators in North America and beyond.,Broad fleet operations platform; not a robotaxi-specific vendor,Fleet telemetry becomes underwriting substrate for autonomous and semi-autonomous fleets.,0,,13
T3 Go,Demand & Commercial Platforms,Chinese ride-hailing platform backed by major automakers,Passenger loop,Company,Nanjing,,China,Greater China,2019,,,,,,,,,Commercial-scaled,Chinese ride-hailing platform backed by major automakers.,,,China,,Ridehail marketplace.,Private,,China.,No current robotaxi network role verified in this pass.,OEM-backed demand layer watchlist.,0,,10
Tactile Mobility,Demand & Commercial Platforms,Virtual sensing selling road-friction data for ODD decisions,Passenger loop,Company,Haifa,,Israel,Middle East & Africa,2012,,,,,,,,,Commercial-limited,Vehicle-road sensing company selling virtual sensing and road-friction data.,,,Global,"Amit Nisenbaum, CEO",Sensor data and virtual sensing services.,Private,,Global pilots/customers.,Public metrics limited.,Sensor-as-a-service watchlist for AV safety and ODD decisions.,0,,9
Tesla Robotaxi,Demand & Commercial Platforms,FSD-powered ridehail active in Austin and Miami,Passenger loop,Company,Austin,TX,US,North America,2025,,42,1.7,,,,,,Commercial-limited,Tesla’s autonomous ridehail service using Tesla vehicles and FSD software.,,https://tesla.com,United States,"Elon Musk, CEO",Direct ridehail revenue; long-term owner-vehicle network vision.,Public company service,,Austin and Miami reported active; Dallas/Houston planned.,"About 42 robotaxis in Austin (June 2026) across a ~245-square-mile area, with unsupervised no-monitor rides mixed in since January; Dallas, Houston and Miami services opened; ~1.7M cumulative paid robotaxi miles through Q1 2026.",First production Cybercab built February 2026 with volume production from April — per EPA filings the most efficient EV yet at 165 Wh/mi and ~293 miles range; supervised FSD fleet crossed 10B cumulative miles in May 2026.,0,,10
TomTom Orbis / Maps APIs,Demand & Commercial Platforms,Orbis maps and traffic APIs for robotaxi routing and ETAs,Passenger loop,Company,Amsterdam,,Netherlands,Europe,2023,,,,,,,,,Commercial-scaled,"Map, navigation and traffic-data provider selling APIs and automotive data services.",,https://tomtom.com,Global,"Harold Goddijn, CEO","Map, traffic, API and automotive platform licensing.",Public,,Global.,Automotive map and API platform.,"Relevant to robotaxi ETA, routing and map-light vs map-heavy strategies.",0,,12
Uber,Demand & Commercial Platforms,Ridehail & demand aggregation; Robotaxi consumer services; Goods delivery & freight networks,Passenger loop,Company,San Francisco,CA,US,North America,2009,,,,,Yes,,,Yes,Commercial-scaled platform,Global demand aggregator positioning itself as a multi-supplier robotaxi marketplace rather than an in-house AV developer.,"The world's largest ride-hail marketplace, now the demand layer for 20+ AV partners.",https://uber.com,Global,Dara Khosrowshahi (CEO),Ridehail marketplace fees; delivery; freight; AV platform take-rate,Public (NYSE: UBER),Public,Waymo in Austin/Atlanta; WeRide/Baidu Gulf; Nuro/Lucid SF path; Uber Freight trucking links,Public summaries cite massive trip/order scale; AV partnerships expanding.,"Assembling robotaxi supply through capital: $500M into Lucid (11.5% stake) with a 35,000+ vehicle Nuro-powered Gravity commitment, plus milestone investments in Waabi (25,000 robotaxis), Avride, Wayve and Nuro — recreating an AV network in aggregate across partners.",23,Abu Dhabi ITC | Avride | BYD | Baidu Apollo Go | EVgo | Lucid | MOIA | May Mobility | Momenta | NVIDIA | Nuro | Pony.ai | Serve Robotics | Stellantis | Uber AV Infrastructure | Uber Eats | Uber Freight | Verne | Volkswagen Group / CARIAD | Waabi | Waymo | Wayve | WeRide,13
Uber Eats,Demand & Commercial Platforms,"Delivery arm piloting Serve, Cartken and Nuro robot couriers",Adjacent: Delivery,Company,San Francisco,CA,US,North America,2014,,,,,,,,,Commercial-scaled,Uber’s food and retail delivery marketplace and early autonomous delivery channel.,"The most active demand channel for autonomous delivery: Serve, Coco, Cartken, Avride and Waymo.",https://uber.com,Global,Uber leadership,"Delivery take-rate, ads and merchant services.",Public company business line,,Global; Serve/Cartken/Nuro autonomous delivery pilots.,Autonomous delivery pilots have included Serve and Cartken.,Part of Uber’s multi-modal AV distribution strategy.,6,Cartken | Coco Robotics | Motional | Serve Robotics | Uber | Waymo,12
